ID_PRECIO|ID_ITEM|TIPO_TARIFA|PRECIO_PUBLICO|COSTO_PROVEEDOR|ID_PROV
1|1|ESTANDAR|550.0|500.0|1
2|2|ESTANDAR|1200.0|1150.0|2
3|3|ESTANDAR|550.0|500.0|3
4|4|ESTANDAR|550.0|500.0|4
5|5|ESTANDAR|750.0|700.0|5
6|6|ESTANDAR|750.0|700.0|6
7|7|ESTANDAR|750.0|700.0|7
8|8|ESTANDAR|550.0|500.0|8
9|9|ESTANDAR|800.0|700.0|9
10|10|ESTANDAR|800.0|700.0|10
11|11|ESTANDAR|350.0|300.0|11
12|12|ESTANDAR|550.0|500.0|1
13|13|ESTANDAR|550.0|500.0|12
14|14|ESTANDAR|550.0|500.0|4
15|15|ESTANDAR|750.0|700.0|5
16|16|ESTANDAR|750.0|700.0|6
17|17|ESTANDAR|750.0|700.0|7
18|18|ESTANDAR|550.0|500.0|8
19|19|ESTANDAR|800.0|700.0|9
20|20|ESTANDAR|800.0|700.0|10
21|21|ESTANDAR|300.0|0.0|13
22|22|ESTANDAR|2500.0|0.0|13
23|23|ESTANDAR|300.0|0.0|13
24|24|ESTANDAR|650.0|0.0|13
25|25|ESTANDAR|70.0|0.0|13
26|26|ESTANDAR|200.0|0.0|13
27|27|ESTANDAR|250.0|0.0|13
28|28|ESTANDAR|2000.0|0.0|13
29|29|ESTANDAR|1500.0|0.0|13
30|30|ESTANDAR|250.0|0.0|13
31|31|ESTANDAR|1000.0|0.0|13
32|32|ESTANDAR|100.0|0.0|13
33|33|ESTANDAR|300.0|0.0|13
34|34|ESTANDAR|770.0|0.0|13
35|35|ESTANDAR|300.0|0.0|13
36|36|ESTANDAR|350.0|0.0|13
37|37|ESTANDAR|250.0|0.0|13
38|38|ESTANDAR|1800.0|0.0|13
39|39|ESTANDAR|3500.0|0.0|13
40|40|ESTANDAR|750.0|0.0|13
41|41|ESTANDAR|800.0|0.0|13
42|42|ESTANDAR|1250.0|0.0|13
43|43|ESTANDAR|1200.0|0.0|13
44|44|ESTANDAR|100.0|0.0|13
45|45|ESTANDAR|100.0|0.0|13
46|46|ESTANDAR|120.0|0.0|13
47|47|ESTANDAR|300.0|0.0|13
48|48|ESTANDAR|600.0|0.0|13
49|49|ESTANDAR|875.0|0.0|13
50|50|ESTANDAR|1210.0|0.0|13
51|51|ESTANDAR|300.0|0.0|13
52|52|ESTANDAR|55.0|0.0|13
53|53|ESTANDAR|50.0|0.0|13
54|54|ESTANDAR|100.0|0.0|13
55|55|ESTANDAR|1600.0|0.0|13
56|56|ESTANDAR|300.0|0.0|13
57|57|ESTANDAR|350.0|0.0|13
58|58|ESTANDAR|500.0|0.0|13
59|59|ESTANDAR|2500.0|0.0|13
60|60|ESTANDAR|100.0|0.0|13
61|61|ESTANDAR|80.0|0.0|13
62|62|ESTANDAR|80.0|0.0|13
63|63|ESTANDAR|1500.0|0.0|13
64|64|ESTANDAR|15.0|0.0|13
65|65|ESTANDAR|25.0|0.0|13
66|66|ESTANDAR|2000.0|0.0|13
67|67|ESTANDAR|1200.0|0.0|13
68|68|ESTANDAR|1600.0|0.0|13
69|69|ESTANDAR|100.0|0.0|13
70|70|ESTANDAR|1500.0|0.0|13
71|71|ESTANDAR|500.0|0.0|13
72|72|ESTANDAR|50.0|0.0|13
73|73|ESTANDAR|600.0|0.0|13
74|74|ESTANDAR|150.0|0.0|13
75|75|ESTANDAR|1500.0|0.0|13
76|76|ESTANDAR|35.0|0.0|13
77|77|ESTANDAR|800.0|0.0|13
78|78|ESTANDAR|600.0|0.0|13
79|79|ESTANDAR|600.0|0.0|13
80|80|ESTANDAR|900.0|0.0|13
81|81|ESTANDAR|330.0|0.0|13
82|82|LUNES_A_SABADO|470.96|0|14
83|82|DOMINGOS_Y_FESTIVOS|941.92|0|14
84|83|LUNES_A_SABADO|672.8|0|14
85|83|DOMINGOS_Y_FESTIVOS|1345.6|0|14
86|84|LUNES_A_SABADO|672.8|0|14
87|84|DOMINGOS_Y_FESTIVOS|1345.6|0|14
88|85|LUNES_A_SABADO|336.4|0|14
89|85|DOMINGOS_Y_FESTIVOS|672.8|0|14
90|86|LUNES_A_SABADO|551.7|0|14
91|86|DOMINGOS_Y_FESTIVOS|1103.4|0|14
92|87|LUNES_A_SABADO|551.7|0|14
93|87|DOMINGOS_Y_FESTIVOS|1103.4|0|14
94|88|LUNES_A_SABADO|538.24|0|14
95|88|DOMINGOS_Y_FESTIVOS|1076.48|0|14
96|89|LUNES_A_SABADO|538.24|0|14
97|89|DOMINGOS_Y_FESTIVOS|1076.48|0|14
98|90|LUNES_A_SABADO|282.58|0|14
99|90|DOMINGOS_Y_FESTIVOS|565.16|0|14
100|91|LUNES_A_SABADO|107.65|0|14
101|91|DOMINGOS_Y_FESTIVOS|215.3|0|14
102|92|LUNES_A_SABADO|107.65|0|14
103|92|DOMINGOS_Y_FESTIVOS|215.3|0|14
104|93|LUNES_A_SABADO|444.05|0|14
105|93|DOMINGOS_Y_FESTIVOS|888.1|0|14
106|94|LUNES_A_SABADO|551.7|0|14
107|94|DOMINGOS_Y_FESTIVOS|1103.4|0|14
108|95|LUNES_A_SABADO|161.47|0|14
109|95|DOMINGOS_Y_FESTIVOS|322.94|0|14
110|96|LUNES_A_SABADO|403.68|0|14
111|96|DOMINGOS_Y_FESTIVOS|807.36|0|14
112|97|LUNES_A_SABADO|134.56|0|14
113|97|DOMINGOS_Y_FESTIVOS|269.12|0|14
114|98|LUNES_A_SABADO|201.84|0|14
115|98|DOMINGOS_Y_FESTIVOS|403.68|0|14
116|99|LUNES_A_SABADO|282.58|0|14
117|99|DOMINGOS_Y_FESTIVOS|565.16|0|14
118|100|LUNES_A_SABADO|1103.39|0|14
119|100|DOMINGOS_Y_FESTIVOS|2206.78|0|14
120|101|LUNES_A_SABADO|336.4|0|14
121|101|DOMINGOS_Y_FESTIVOS|672.8|0|14
122|102|LUNES_A_SABADO|444.05|0|14
123|102|DOMINGOS_Y_FESTIVOS|888.1|0|14
124|103|LUNES_A_SABADO|201.84|0|14
125|103|DOMINGOS_Y_FESTIVOS|403.68|0|14
126|104|LUNES_A_SABADO|201.84|0|14
127|104|DOMINGOS_Y_FESTIVOS|403.68|0|14
128|105|LUNES_A_SABADO|444.05|0|14
129|105|DOMINGOS_Y_FESTIVOS|888.1|0|14
130|106|LUNES_A_SABADO|282.58|0|14
131|106|DOMINGOS_Y_FESTIVOS|565.16|0|14
132|107|LUNES_A_SABADO|282.58|0|14
133|107|DOMINGOS_Y_FESTIVOS|565.16|0|14
134|108|LUNES_A_SABADO|269.12|0|14
135|108|DOMINGOS_Y_FESTIVOS|538.24|0|14
136|109|LUNES_A_SABADO|202.0|0|14
137|109|DOMINGOS_Y_FESTIVOS|404.0|0|14
138|110|LUNES_A_SABADO|888.1|0|14
139|110|DOMINGOS_Y_FESTIVOS|1776.2|0|14
140|111|LUNES_A_SABADO|1345.6|0|14
141|111|DOMINGOS_Y_FESTIVOS|2691.2|0|14
142|112|LUNES_A_SABADO|1762.74|0|14
143|112|DOMINGOS_Y_FESTIVOS|3525.48|0|14
144|113|LUNES_A_SABADO|282.58|0|14
145|113|DOMINGOS_Y_FESTIVOS|565.16|0|14
146|114|LUNES_A_SABADO|718.01|0|14
147|114|DOMINGOS_Y_FESTIVOS|1436.02|0|14
148|115|LUNES_A_SABADO|618.98|0|14
149|115|DOMINGOS_Y_FESTIVOS|1237.96|0|14
150|116|LUNES_A_SABADO|618.98|0|14
151|116|DOMINGOS_Y_FESTIVOS|1237.96|0|14
152|117|LUNES_A_SABADO|1103.39|0|14
153|117|DOMINGOS_Y_FESTIVOS|2206.78|0|14
154|118|LUNES_A_SABADO|1103.39|0|14
155|118|DOMINGOS_Y_FESTIVOS|2206.78|0|14
156|119|LUNES_A_SABADO|134.56|0|14
157|119|DOMINGOS_Y_FESTIVOS|269.12|0|14
158|120|LUNES_A_SABADO|134.56|0|14
159|120|DOMINGOS_Y_FESTIVOS|269.12|0|14
160|121|LUNES_A_SABADO|497.87|0|14
161|121|DOMINGOS_Y_FESTIVOS|995.74|0|14
162|122|LUNES_A_SABADO|444.05|0|14
163|122|DOMINGOS_Y_FESTIVOS|888.1|0|14
164|123|LUNES_A_SABADO|6620.35|0|14
165|123|DOMINGOS_Y_FESTIVOS|13240.7|0|14
166|124|LUNES_A_SABADO|5516.96|0|14
167|124|DOMINGOS_Y_FESTIVOS|11033.92|0|14
168|125|LUNES_A_SABADO|6620.35|0|14
169|125|DOMINGOS_Y_FESTIVOS|13240.7|0|14
170|126|LUNES_A_SABADO|336.4|0|14
171|126|DOMINGOS_Y_FESTIVOS|672.8|0|14
172|127|LUNES_A_SABADO|1547.44|0|14
173|127|DOMINGOS_Y_FESTIVOS|3094.88|0|14
174|128|LUNES_A_SABADO|497.87|0|14
175|128|DOMINGOS_Y_FESTIVOS|995.74|0|14
176|129|LUNES_A_SABADO|834.27|0|14
177|129|DOMINGOS_Y_FESTIVOS|1668.54|0|14
178|130|LUNES_A_SABADO|834.27|0|14
179|130|DOMINGOS_Y_FESTIVOS|1668.54|0|14
180|131|LUNES_A_SABADO|2220.24|0|14
181|131|DOMINGOS_Y_FESTIVOS|4440.48|0|14
182|132|LUNES_A_SABADO|1682.0|0|14
183|132|DOMINGOS_Y_FESTIVOS|3364.0|0|14
184|133|LUNES_A_SABADO|780.45|0|14
185|133|DOMINGOS_Y_FESTIVOS|1560.9|0|14
186|134|LUNES_A_SABADO|888.1|0|14
187|134|DOMINGOS_Y_FESTIVOS|1776.2|0|14
188|135|LUNES_A_SABADO|834.27|0|14
189|135|DOMINGOS_Y_FESTIVOS|1668.54|0|14
190|136|LUNES_A_SABADO|834.27|0|14
191|136|DOMINGOS_Y_FESTIVOS|1668.54|0|14
192|137|LUNES_A_SABADO|1682.0|0|14
193|137|DOMINGOS_Y_FESTIVOS|3364.0|0|14
194|138|LUNES_A_SABADO|134.56|0|14
195|138|DOMINGOS_Y_FESTIVOS|269.12|0|14
196|139|LUNES_A_SABADO|134.56|0|14
197|139|DOMINGOS_Y_FESTIVOS|269.12|0|14
198|140|LUNES_A_SABADO|134.56|0|14
