CLAVE|SUBCLAVE|DESCRIPCION
010.000.0101.00|010.000.0101.00|ACIDO ACETILSALICILICO TABLETA CADA TABLETA CONTIENE: ACIDO ACETILSALICILICO 500 MG. ENVASE CON 20 TABLETAS.
010.000.0103.00|010.000.0103.00|ACIDO ACETILSALICILICO TABLETA SOLUBLE O EFERVESCENTE CADA TABLETA SOLUBLE O EFERVESCENTE CONTIENE: ACIDO ACETILSALICILICO 300 MG. ENVASE CON 20 TABLETAS SOLUBLES O EFERVESCENTES
010.000.5940.00|010.000.5940.00|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 200 MG ENVASE CON 10 TABLETAS O CAPSULAS.
010.000.5940.01|010.000.5940.01|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 200 MG ENVASE CON 12 TABLETAS
010.000.5940.02|010.000.5940.02|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 200 MG ENVASE CON 20 TABLETAS O CAPSULAS
010.000.5940.03|010.000.5940.03|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 200 MG ENVASE CON 30 CAPSULAS.
010.000.5941.00|010.000.5941.00|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 400 MG. ENVASE CON 10 TABLETAS O CAPSULAS.
010.000.5941.01|010.000.5941.01|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 400 MG. ENVASE CON 12 TABLETAS.
010.000.5941.02|010.000.5941.02|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 400 MG. ENVASE CON 20 CAPSULAS.
010.000.5941.03|010.000.5941.03|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 400 MG. ENVASE CON 30 CAPSULAS.
010.000.5941.04|010.000.5941.04|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 400 MG. ENVASE CON 36 TABLETAS.
010.000.5942.00|010.000.5942.00|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 600 MG. ENVASE CON 10 CAPSULAS
010.000.5942.01|010.000.5942.01|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 600 MG. ENVASE CON 12 TABLETAS.
010.000.5942.02|010.000.5942.02|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 600 MG. ENVASE CON 20 CAPSULAS.
010.000.5942.03|010.000.5942.03|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 600 MG. ENVASE CON 24 TABLETAS.
010.000.5942.04|010.000.5942.04|IBUPROFENO TABLETA O CAPSULA CADA TABLETA O CAPSULA CONTIENE:IBUPROFENO 600 MG. ENVASE CON 30 TABLETAS O CAPSULAS
010.000.5943.00|010.000.5943.00|IBUPROFENO SUSPENSION ORAL CADA 100 ML CONTIENEN: IBUPROFENO 2 G. ENVASE CON 120 ML Y MEDIDA DOSIFICADORA.
010.000.5944.00|010.000.5944.00|IBUPROFENO SUSPENSION ORAL CADA MILILITRO CONTIENE: IBUPROFENO 40 MG. ENVASE CON 15 ML CON GOTERO CALIBRADO, INTEGRADO O ADJUNTO AL ENVASE QUE LE SIRVE DE TAPA
010.000.0108.00|010.000.0108.00|METAMIZOL SODICO COMPRIMIDO CADA COMPRIMIDO CONTIENE:METAMIZOL SODICO 500 MG. ENVASE CON 10 COMPRIMIDOS.
010.000.0109.00|010.000.0109.00|METAMIZOL SODICO SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE:METAMIZOL SODICO 1 G. ENVASE CON 3 AMPOLLETAS CON 2 ML.
010.000.0104.00|010.000.0104.00|PARACETAMOL TABLETA CADA TABLETA CONTIENE:PARACETAMOL 500 MG. ENVASE CON 10 TABLETAS.
010.000.0105.00|010.000.0105.00|PARACETAMOL SUPOSITORIO CADA SUPOSITORIO CONTIENE:PARACETAMOL 300 MG. ENVASE CON 3 SUPOSITORIOS.
010.000.0106.00|010.000.0106.00|PARACETAMOL SOLUCION ORAL CADA ML CONTIENE: PARACETAMOL 100 MG. ENVASE CON 15 ML, GOTERO CALIBRADO A 0.5 Y 1 ML, INTEGRADO O ADJUNTO AL ENVASE QUE SIRVE DE TAPA.
010.000.0514.00|010.000.0514.00|PARACETAMOL SUPOSITORIO CADA SUPOSITORIO CONTIENE: PARACETAMOL 100 MG. ENVASE CON 3 SUPOSITORIOS.
010.000.0514.01|010.000.0514.01|PARACETAMOL SUPOSITORIO CADA SUPOSITORIO CONTIENE:PARACETAMOL 100 MG. ENVASE CON 6 SUPOSITORIOS.
010.000.0514.02|010.000.0514.02|PARACETAMOL SUPOSITORIO CADA SUPOSITORIO CONTIENE:PARACETAMOL 100 MG. ENVASE CON 10 SUPOSITORIOS.
040.000.2097.00|040.000.2097.00|BUPRENORFINA PARCHE CADA PARCHE CONTIENE: BUPRENORFINA 30 MG. ENVASE CON 4 PARCHES.
040.000.2098.00|040.000.2098.00|BUPRENORFINA PARCHE CADA PARCHE CONTIENE:BUPRENORFINA 20 MG. ENVASE CON 4 PARCHES.
040.000.2100.00|040.000.2100.00|BUPRENORFINA TABLETA SUBLINGUAL CADA TABLETA SUBLINGUAL CONTIENE:CLORHIDRATO DE BUPRENORFINA EQUIVALENTE A 0.2 MG DE BUPRENORFINA. ENVASE CON 10 TABLETAS.
040.000.2100.01|040.000.2100.01|BUPRENORFINA TABLETA SUBLINGUAL CADA TABLETA SUBLINGUAL CONTIENE:CLORHIDRATO DE BUPRENORFINA EQUIVALENTE A 0.2 MG DE BUPRENORFINA. ENVASE CON 20 TABLETAS.
040.000.4026.00|040.000.4026.00|BUPRENORFINA SOLUCION INYECTABLE CADA AMPOLLETA O FRASCO AMPULA CONTIENE:CLORHIDRATO DE BUPRENORFINA EQUIVALENTE A 0.3 MG DE BUPRENORFINA. ENVASE CON 6 AMPOLLETAS O FRASCOS AMPULA CON 1 ML.
040.000.6038.00|040.000.6038.00|BUPRENORFINA PARCHE CADA PARCHE CONTIENE: BUPRENORFINA 5MG ENVASE CON 4 PARCHES. VELOCIDAD NOMINAL DE LIBERACION: 5µG/H (A TRAVES DE UN PERIODO DE 7 DIAS)
