ID_ITEM|CODIGO_SKU|ID_CAT|CONCEPTO|APLICA_IVA|INDICACIONES|TIEMPO_ENTREGA
1|CONS-0001|1|CONSULTA GINECOLOGIA - DR LUIS HERNANDEZ CARDENAS|0|Sin preparación previa|Inmediato
2|CONS-0002|2|CONSULTA GINECOLOGIA (URGENCIAS)|0|Sin preparación previa|Inmediato
3|CONS-0003|3|CONSULTA PEDIATRIA - DRA ROSA MARIA GONZALEZ|0|Sin preparación previa|Inmediato
4|CONS-0004|4|CONSULTA TRAUMATOLOGIA - DR VICTOR TSUTSUMI|0|Sin preparación previa|Inmediato
5|CONS-0005|5|CONSULTA MEDICINA INTERNA - DR CESAR MENDOZA|0|Sin preparación previa|Inmediato
6|CONS-0006|5|CONSULTA MEDICINA INTERNA - DRA ANDREA LAGUNAS|0|Sin preparación previa|Inmediato
7|CONS-0007|6|CONSULTA UROLOGIA - DR CHRISTIAN CEDEÑO|0|Sin preparación previa|Inmediato
8|CONS-0008|7|CONSULTA GASTROENTEROLOGIA - DR ISRAEL DIAZ|0|Sin preparación previa|Inmediato
9|CONS-0009|8|CONSULTA PSIQUIATRIA - DRA. GUADALUPE ALVARADO|0|Sin preparación previa|Inmediato
10|CONS-0010|9|CONSULTA ENDOCRINOLOGIA - DR JONATHAN FRANCO|0|Sin preparación previa|Inmediato
11|CONS-0011|10|CONSULTA NUTRICION - LIC ANA MARIA MALAGON|0|Sin preparación previa|Inmediato
12|CONS-0012|1|CONSULTA GINECOLOGIA - DR LUIS HERNANDEZ CARDENAS (LUN-SAB 8:30 AM)|0|Sin preparación previa|Inmediato
13|CONS-0013|3|CONSULTA PEDIATRIA - DRA. ROSA MARIA GONZALEZ|0|Sin preparación previa|Inmediato
14|CONS-0014|11|CONSULTA TRAUMATOLOGIA / ORTOPEDIA - DR VICTOR TSUTSUMI|0|Sin preparación previa|Inmediato
15|CONS-0015|5|CONSULTA MEDICINA INTERNA - DR CESAR MENDOZA|0|Sin preparación previa|Inmediato
16|CONS-0016|12|CONSULTA MEDICINA INTERNA / GERIATRIA - DRA ANDREA LAGUNAS|0|Sin preparación previa|Inmediato
17|CONS-0017|6|CONSULTA UROLOGIA - DR CHRISTIAN CEDEÑO|0|Sin preparación previa|Inmediato
18|CONS-0018|13|CONSULTA GASTROENTEROLOGIA / CIRUGIA GRAL - DR ISRAEL DIAZ|0|Sin preparación previa|Inmediato
19|CONS-0019|8|CONSULTA PSIQUIATRIA - DRA. GUADALUPE ALVARADO|0|Sin preparación previa|Inmediato
20|CONS-0020|9|CONSULTA ENDOCRINOLOGIA - DR JONATHAN FRANCO|0|Sin preparación previa|Inmediato
21|SERV-0021|14|ARETES|0|Según procedimiento|Inmediato
22|SERV-0022|14|ARTROSENTESIS|0|Según procedimiento|Inmediato
23|SERV-0023|14|BOMBA DE INFUSION (POR DIA)|0|Según procedimiento|Inmediato
24|SERV-0024|14|CARGA DE MATERIAL ESTERILIZADO|0|Según procedimiento|Inmediato
25|SERV-0025|14|CURACION MENOR|0|Según procedimiento|Inmediato
26|SERV-0026|14|CURACION MAYOR|0|Según procedimiento|Inmediato
27|SERV-0027|14|CEFTIFICADO MEDICO|0|Según procedimiento|Inmediato
28|SERV-0028|14|CERTIFICADO MEDICO PEDIATRICO PARA PASAPORTE (DRA ROSA MARIA GONZALEZ)|0|Según procedimiento|Inmediato
29|SERV-0029|14|CERTIFICADO MEDICO DE DEFUNCION|0|Según procedimiento|Inmediato
30|SERV-0030|14|CERTIFICADO PRENUPCIAL|0|Según procedimiento|Inmediato
31|SERV-0031|14|COLOCACION DE DIU (*Es ideal colocarlo en los primeros 7 días del ciclo menstrual)|0|Según procedimiento|Inmediato
32|SERV-0032|14|DESTROSTIX|0|Según procedimiento|Inmediato
33|SERV-0033|14|ELECTROCAUTERIO USO DE|0|Según procedimiento|Inmediato
34|SERV-0034|14|ELECTROCARDIOGRAMA|0|Según procedimiento|Inmediato
35|SERV-0035|14|ENEMA (SOLO APLICACION)|0|Según procedimiento|Inmediato
36|SERV-0036|14|APLICACIÓN ENEMA Y/O FOSFOENEMA (MAS MEDICAMENTO)SE NECESITA ORDEN MEDICA|0|Según procedimiento|Inmediato
37|SERV-0037|14|DESIMPACTACION|0|Según procedimiento|Inmediato
38|SERV-0038|14|EXTRACCION DE UÑA|0|Según procedimiento|Inmediato
39|SERV-0039|14|EXTRACCION DE VERRUGA|0|Según procedimiento|Inmediato
40|SERV-0040|14|FERULA CHICA|0|Según procedimiento|Inmediato
41|SERV-0041|14|FERULA MEDIANA|0|Según procedimiento|Inmediato
42|SERV-0042|14|FERULA GRANDE|0|Según procedimiento|Inmediato
43|SERV-0043|14|ELECTROFULGURACION (INCLUYE USO DE ELECTROCAUTERIO Y LAPIZ)|0|Según procedimiento|Inmediato
44|SERV-0044|14|EXPLORACION VAGINAL C/ESPEJO|0|Según procedimiento|Inmediato
45|SERV-0045|14|FOTOTERAPIA POR HORA|0|Según procedimiento|Inmediato
46|SERV-0046|14|INCUBADORA POR HORA|0|Según procedimiento|Inmediato
47|SERV-0047|14|INTERNAMIENTO 1-3 HRS|0|Según procedimiento|Inmediato
48|SERV-0048|14|INTERNAMIENTO 3-11HRS|0|Según procedimiento|Inmediato
49|SERV-0049|14|INTERNAMIETNO 12HRS|0|Según procedimiento|Inmediato
50|SERV-0050|14|INTERNAMIENTO DE DIA|0|Según procedimiento|Inmediato
51|SERV-0051|14|INTERNAMIENTO MENOR DE 3HRS|0|Según procedimiento|Inmediato
52|SERV-0052|14|INYECCION IM CON JERINGA|0|Según procedimiento|Inmediato
53|SERV-0053|14|INYECCION IM SIN JERINGA|0|Según procedimiento|Inmediato
54|SERV-0054|14|INYECCION IV|0|Según procedimiento|Inmediato
55|SERV-0055|14|LAVADO GASTRICO|0|Según procedimiento|Inmediato
56|SERV-0056|14|LAVADO OCULAR C/OJO|0|Según procedimiento|Inmediato
57|SERV-0057|14|LAVADO OTICO (UN OIDO)|0|Según procedimiento|Inmediato
58|SERV-0058|14|LAVADO OTICO BILATERAL|0|Según procedimiento|Inmediato
59|SERV-0059|14|LIGASURE|0|Según procedimiento|Inmediato
60|SERV-0060|14|MONITOR POR HORA|0|Según procedimiento|Inmediato
61|SERV-0061|14|NEBULIZACION SIMPLE|0|Según procedimiento|Inmediato
62|SERV-0062|14|OXIGENO POR HORA|0|Según procedimiento|Inmediato
63|SERV-0063|14|PAPANICOLAOU (INCLUYE PATOLOGIA)|0|Según procedimiento|Inmediato
64|SERV-0064|14|PESO|0|Según procedimiento|Inmediato
65|SERV-0065|14|PREPARADO NASAL|0|Según procedimiento|Inmediato
66|SERV-0066|14|QUIROFANO (1-2 HORAS)|0|Según procedimiento|Inmediato
67|SERV-0067|14|RETIRO DE DIU|0|Según procedimiento|Inmediato
68|SERV-0068|14|RETIRO DE IMPLANTE SUBDERMICO|0|Según procedimiento|Inmediato
69|SERV-0069|14|RETIRO DE PUNTOS|0|Según procedimiento|Inmediato
70|SERV-0070|14|RETIRO DE YESO|0|Según procedimiento|Inmediato
71|SERV-0071|14|RENTA DE AREA DE AMBULATORIO|0|Según procedimiento|Inmediato
72|SERV-0072|14|SIGNOS VITALES (PRESION Y TEMPERATURA)|0|Según procedimiento|Inmediato
73|SERV-0073|14|SONDA FOLEY (COLOCACION)|0|Según procedimiento|Inmediato
74|SERV-0074|14|SONDA FOLEY (RETIRO)|0|Según procedimiento|Inmediato
75|SERV-0075|14|SUTURAS|0|Según procedimiento|Inmediato
76|SERV-0076|14|TOMA DE PRESION|0|Según procedimiento|Inmediato
77|SERV-0077|14|VENDAJE DE JONS|0|Según procedimiento|Inmediato
78|SERV-0078|14|YESO CHICO|0|Según procedimiento|Inmediato
79|SERV-0079|14|YESO MEDIANO|0|Según procedimiento|Inmediato
80|SERV-0080|14|YESO GRANDE|0|Según procedimiento|Inmediato
81|SERV-0081|14|VENOCLISIS|0|Según procedimiento|Inmediato
82|LABS-0082|15|17 ALFA HIDROXIPROGESTERONA|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
83|LABS-0083|15|Ac. ANTI HELICOBACTER PYLORI (IgG)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
84|LABS-0084|15|Ac. ANTI HELICOBACTER PYLORI (Iga)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
85|LABS-0085|15|Ac. ANTI HIV 1+2 (aHIV)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
86|LABS-0086|15|AC. ANTI DNA(DOBLE CADENA)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
87|LABS-0087|15|AC.ANTI DNA (NATIVO)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
88|LABS-0088|15|AC. CITOMEGALOVIRUS (IGG)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
89|LABS-0089|15|AC. CITOMEGALOVIRUS (IGM)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
90|LABS-0090|15|ACIDO FOLICO (FOLATOS)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
91|LABS-0091|15|ACIDO URICO EN ORINA DE 24HRS|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
92|LABS-0092|15|ACIDO URICO SERICO|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
93|LABS-0093|15|ACIDO VALPROICO|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
94|LABS-0094|15|AG CARCINOEMBRIONARIO (CEA)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
95|LABS-0095|15|ALBUMINA|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
96|LABS-0096|15|ALCOHOL (ETANOL)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
97|LABS-0097|15|AMIBA EN FRESCO|1|MATERIA FECAL|24 - 48 hrs
98|LABS-0098|15|AMILASA|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
99|LABS-0099|15|ANFETAMINAS|1|ORINA OCASIONAL|24 - 48 hrs
100|LABS-0100|15|ANTICOAGULANTE LUPICO|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
101|LABS-0101|15|ANTIGENO PROSTATICO ESPECIFICO (PSA TOTAL)|1|Sin indicaciones particulares|24 - 48 hrs
102|LABS-0102|15|ANTIGENO PROSTATICO FACCION LIBRE (PSA LIBRE)|1|Sin indicaciones particulares|24 - 48 hrs
103|LABS-0103|15|AZUCARES REDUCTORES EN HECES|1|MATERIA FECAL|24 - 48 hrs
104|LABS-0104|15|BACILOSCOPIA 1 MUESTRA|1|LIQUIDO BIOLOGICO|24 - 48 hrs
105|LABS-0105|15|BACILOSCOPIA EN SERIE DE 3 MUESTRAS|1|LIQUIDO BIOLOGICO|24 - 48 hrs
106|LABS-0106|15|BARBITURICOS|1|ORINA OCASIONAL|24 - 48 hrs
107|LABS-0107|15|BENZODIACEPINA|1|ORINA OCASIONAL|24 - 48 hrs
108|LABS-0108|15|BILIRUBINAS (BT,BC,BNC)|1|AYUNO DE 12HRS|24 - 48 hrs
109|LABS-0109|15|BIOMETRIA HEMATICA COMPLETA (BHC)|1|Sin indicaciones particulares|24 - 48 hrs
110|LABS-0110|15|BIOPSIA CHICA|1|3 CM DE TEJIDO|24 - 48 hrs
111|LABS-0111|15|BIOPSIA MEDIANA|1|5 CM DE TEJIDO|24 - 48 hrs
112|LABS-0112|15|BIOPSIA GRANDE|1|7 A 12 CM DE TEJIDO|24 - 48 hrs
113|LABS-0113|15|BUSQUEDA DE TRICHOMONAS VAGINALIS|1|CEPILLADO VAGINAL|24 - 48 hrs
114|LABS-0114|15|CA 125 (OVARIO)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
115|LABS-0115|15|CA 15-3 (MAMA)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
116|LABS-0116|15|CA 19-9 (COLON Y PANCREAS)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
117|LABS-0117|15|CA 27-29 (MAMA)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
118|LABS-0118|15|CA 72-4 (EPITELIALES)|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
119|LABS-0119|15|CALCIO EN ORINA DE 24HRS|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
120|LABS-0120|15|CALCIO SERICO|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
121|LABS-0121|15|CALCITONINA|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
122|LABS-0122|15|CARBAMAZEPINA|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
123|LABS-0123|15|CARGA VIRAL DE HEPATITIS "B"|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
124|LABS-0124|15|CARGA VIRAL DE HEPATITIS "C"|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
125|LABS-0125|15|CARGA VIRAL DE HIV|1|AYUNO DE 8 A 12 HRS|24 - 48 hrs
126|LABS-0126|15|CELULAS L-E (LUPUS ERITEMATOSO)|1|Sin indicaciones particulares|24 - 48 hrs
127|LABS-0127|15|CHECK UP 2 (BHC, QS31, COPROLOGICO,RF)|1|AYUNO DE 8 A 12HRS|24 - 48 hrs
128|LABS-0128|15|CHEQUEO BASICO (BHS, QS6, EGO)|1|AYUNO DE 8 A 12HRS|24 - 48 hrs
129|LABS-0129|15|CHEQUEO BASICO 1 (BHC,QS6,EGO, PFH)|1|AYUNO DE 8 A 12HRS|24 - 48 hrs
130|LABS-0130|15|CHEQUEO BASICO 2 (BHC,QS6,EGO,ES6|1|AYUNO DE 8 A 12HRS|24 - 48 hrs
131|LABS-0131|15|CHLAMYDIA TRACOMATIS POR PCR|1|AYUNO DE 8 A 12HRS|24 - 48 hrs
132|LABS-0132|15|CISTATINA "C"|1|AYUNO DE 8 A 12HRS|24 - 48 hrs
133|LABS-0133|15|CITOLOGICO Y CITOQUIMICO DE LIQUIDO LCR|1|Sin indicaciones particulares|24 - 48 hrs
134|LABS-0134|15|CITOLOGICO Y CITOQUIMICO DE LIQUIDO PERITONEAL|1|Sin indicaciones particulares|24 - 48 hrs
135|LABS-0135|15|CITOLOGICO Y CITOQUIMICO DE LIQUIDO SINOVIAL|1|Sin indicaciones particulares|24 - 48 hrs
136|LABS-0136|15|CITOLOGICO Y CITOQUIMICO DE LIQUIDOS CORPORALES|1|Sin indicaciones particulares|24 - 48 hrs
137|LABS-0137|15|CITRATROS EN ORINA DE 24HRS|1|ORINA DE 24 HRS|24 - 48 hrs
138|LABS-0138|15|CLORO|1|AYUNO DE 8 A 12HRS|24 - 48 hrs
139|LABS-0139|15|COLESTEROL HDL|1|AYUNO DE 8 A 12HRS|24 - 48 hrs
140|LABS-0140|15|COLESTEROL LDL|1|AYUNO DE 8 A 12HRS|24 - 48 hrs
