ID_CAT|ID_DEP|NOMBRE_CAT
1|1|GINECOLOGIA
3|1|PEDIATRIA
4|1|TRAUMATOLOGIA
5|1|MEDICINA INTERNA
6|1|UROLOGIA
7|1|GASTROENTEROLOGIA
8|1|PSIQUIATRIA
9|1|ENDOCRINOLOGIA
10|1|NUTRICION
11|1|TRAUMATOLOGIA / ORTOPEDIA
12|1|MEDICINA INTERNA / GERIATRIA
13|1|GASTROENTEROLOGIA / CIRUGIA GRAL
14|2|PROCEDIMIENTOS
15|3|ANALISIS CLINICOS
16|4|RAYOS X
17|5|HEMATOLOGIA
18|5|EXAMENES DE ORINA
19|5|PRUEBAS INMUNOLOGICAS
20|5|BACTERIOLOGIA
21|5|QUIMICA CLINICA
22|5|COAGULACION
23|5|HORMONAS
24|5|MARCADORES TUMORALES
25|5|DROGAS DE ABUSO
26|5|PERFILES
27|5|VARIOS
28|6|ECOGRAFIA
29|7|QUIROFANO
30|8|HISTOPATOLOGIA
31|9|HISTOPATOLOGIA
32|1|ALERGOLOGIA
33|1|ANGIOLOGIA
34|1|AUDIOLOGIA
35|1|CARDIOLOGIA
36|1|CARDIOLOGIA PEDIATRICA
37|1|DERMATOLOGIA
38|1|ENDOCRINOLOGIA PEDIATRICA
40|1|HEMATOLOGA PEDIATRA
41|1|NEFROLOGIA
42|1|NEUMOLOGIA
43|1|NEUMOLOGIA PEDIATRICA
44|1|NEUROLOGIA QUIRURGICA
45|1|NEUROLOGIA CLINICA
46|1|NEUROLOGIA PEDIATRICA
47|1|NEUROPSICOLOGIA
48|1|PSICOLOGIA
49|1|PROCTOLOGIA
50|1|OTORRINOLARINGOLOGIA
51|1|ONCOLOGIA CLINICA
52|1|OFTALMOLOGIA
53|1|REUMATOLOGIA
54|1|UROGINECOLOGIA
55|1|ONCOLOGIA QUIRURGICA
56|1|CIRUGIA PLASTICA
57|1|CIRUGIA PEDIATRICA
58|1|ODONTOLOGIA
59|1|MEDICINA GENERAL
60|1|CARDIOLOGIA VALORACION PO
61|1|HEMATOLOGIA
