$T_espid|$T_espnombre|
1|ALERGOLOGIA|
2|ANGIOLOGIA|
3|AUDIOLOGIA|
4|CARDIOLOGIA|
5|CARDIOLOGIA PEDIATRICA|
6|CIRUGIA PLASTICA|
7|DERMATOLOGIA|
8|ENDOCRINOLOGIA|
9|ENDOCRINOLOGIA PEDIATRICA|
10|FISIOTERAPIA Y REHABILITACION|
11|GASTROENTEROLOGIA|
12|GINECOLOGIA|
13|HEMATOLOGA PEDIATRA|
14|HEMATOLOGIA|
15|MEDICINA GENERAL|
16|MEDICINA INTERNA|
17|MEDICINA INTERNA (INTEGRADA)|
18|NEFROLOGIA|
19|NEUMOLOGIA|
20|NEUMOLOGIA PEDIATRICA|
21|NEUROLOGIA|
22|NEUROLOGIA PEDIATRICA|
23|NUTRICION|
24|OFTALMOLOGIA|
25|ONCOLOGIA CLINICA|
26|ONCOLOGIA QUIRURGICA|
27|OTORRINOLARINGOLOGIA|
28|PEDIATRIA|
29|PROCTOLOGIA|
30|PSIQUIATRIA|
31|REUMATOLOGIA|
32|TRAUMATOLOGIA|
33|UROGINECOLOGIA|
34|UROLOGIA|
35|ENFERMERIA|
36|PSICOLOGIA|
37|TERAPIA MECANICA|
38|MEDICINA NUCLEAR|
39|CIRUGIA GENERAL|
40|ULTRASONIDO|
41|DERMATOLOGIA PEDIATRICA|
