ID_PROV|TIPO|NOMBRE_PROVEEDOR
1|GENERAL|DR LUIS HERNANDEZ CARDENAS
2|GENERAL|MEDICO DE GUARDIA
3|GENERAL|DRA ROSA MARIA GONZALEZ
4|GENERAL|DR VICTOR TSUTSUMI
5|GENERAL|DR CESAR MENDOZA
6|GENERAL|DRA ANDREA LAGUNAS
7|GENERAL|DR CHRISTIAN CEDEÑO
8|GENERAL|DR ISRAEL DIAZ
9|GENERAL|DRA. GUADALUPE ALVARADO
10|GENERAL|DR JONATHAN FRANCO
11|GENERAL|LIC ANA MARIA MALAGON
12|GENERAL|DRA. ROSA MARIA GONZALEZ
13|GENERAL|CLINICA PARTICULAR
14|GENERAL|LABORATORIO SANTIAGO
15|GENERAL|GABINETE EMMANUEL
16|GENERAL|LABORATORIO QFB FRANCISCO
17|GENERAL|
18|GENERAL|DR. PINEDO
19|GENERAL|DR. GALLEGOS
