ID_NEGOCIO|CLAVE|VALOR
1|CAPACIDAD|Pacientes del Estado
447562|TIPO_ORGANIZACION|Clínica
447562|NATURALEZA_JURIDICA|Privado
447562|REPORTE_INSTITUCION|No
447562|PACIENTES_ESTADO|1
447562|MANEJA_HOSPITALIZACION|1
447562|INSTITUCION|No aplica
447562|CAPACIDAD|Expediente Clínico
447562|CAPACIDAD|Agenda
447562|CAPACIDAD|Imagenología
447562|CAPACIDAD|Inventario
447562|CAPACIDAD|Facturación
447562|CAPACIDAD|Telemedicina
447562|CAPACIDAD|CRM
447562|CAPACIDAD|Interoperabilidad SIS
447562|CAPACIDAD|Interoperabilidad FHIR
447562|CAPACIDAD|HL7
447562|CAPACIDAD|DICOM
447562|CAPACIDAD|Exportación CSV
447562|CAPACIDAD|API REST
1088564|CONSULTORIOS|2
1088564|QUIROFANOS|2
