ID_ESPE|ESP_NOMBRE
0|ANESTESIOLOGÍA
1|CIRUGÍA GENERAL
2|MEDICINA INTERNA
3|PEDIATRÍA
4|GINECOLOGÍA Y OBSTETRICIA
5|MEDICINA FAMILIAR
6|PSIQUIATRÍA
7|DERMATOLOGÍA
8|OTORRINOLARINGOLOGÍA
9|OFTALMOLOGÍA
10|RADIOLOGÍA E IMAGEN
11|TRAUMATOLOGÍA Y ORTOPEDIA
12|UROLOGÍA
13|NEUROLOGÍA
14|NEUMOLOGÍA
15|CARDIOLOGÍA
16|ENDOCRINOLOGÍA
17|GASTROENTEROLOGÍA
18|HEMATOLOGÍA
19|ONCOLOGÍA MÉDICA
20|ONCOLOGÍA QUIRÚRGICA
21|CIRUGÍA PLÁSTICA Y RECONSTRUCTIVA
22|MEDICINA DE REHABILITACIÓN
23|MEDICINA DEL DOLOR Y CUIDADOS PALIATIVOS
24|MEDICINA NUCLEAR
25|GENÉTICA MÉDICA
26|GERIATRÍA
