$T_medid|$T_medidespeciali|Nombre_Completo
1|8|DR JONATHAN FRANCO F
3|5|DRA ANA PAOLA MENDEZ ZARANDONA
5|16|DR CESAR MENDOZA FRANCO
6|15|DRA CLAUDIA CASTILLO ANDRADE
7|28|DRA CLAUDIA LICEA GUERRERO
8|2|DR JULIO ESCALANTE
9|29|DR CUAUHTEMOC MOLOTLA XOLALPA
11|15|DRA DIANA HERNANDEZ GARCIA
15|27|DR FRANCISCO JAVIER ROMERO
16|1|DRA GISELA MONDRAGON
17|31|DR GUILLERMO GAMEZ BLAZ
18|33|DR GUSTAVO ARTURO OCHOA
19|39|DR ISRAEL DIAZ CARRILLO
21|18|DR JOSE HECTOR MAYORGA MADRIGAL
22|26|DR JOSE JAIME MARTINEZ GASPERIN
23|2|DR JOSE MANUEL GONZALEZ
24|4|DR JUAN DE SANTIAGO LEANOS
25|23|LIC LAURA MAYA
26|7|DRA LILIANA ZAMORA PEREZ
27|15|DR LUIS ALBERTO VARGAS LOPEZ
28|12|DR LUIS HERNANDEZ CARDENAS
29|19|DRA MARCELA COBOS MAR
30|16|DRA ANDREA LAGUNA ACOSTA
31|22|DR MARIO LECHUGA PERDOMO
32|9|DRA MARTHA CRISTINA MALDONADO
33|20|DRA MAYDA GABRIELA SANCHEZ URUETA
34|36|LIC CARLA ROMANO
35|14|DRA MONSERRATH GONZALEZ LOPEZ
36|34|DR CHRISTIAN CEDEÑO
37|15|DRA BELEN ROMERO
38|24|DR MAURICIO MERE
39|6|DR ROGER ANDRES DAMIAN ROBLES
40|28|DRA ROSA MARIA GONZALEZ RODRIGUEZ
41|30|DRA RUBI FAUSTO
42|32|DR VICTOR TSUTSUMI HARA
45|1|DR SERGIO QUIROZ GATICA
46|21|JORGE MIGUEL FLORES FUENTES
48|26|DR NOE NAJERA GONZALEZ
52|15|DRA HYPATIA GUILLEN
53|15|DR CESAR JIMENEZ COVALLES
54|15|DRA ALEJANDRA CONTRERAS
55|30|DRA MARIA GUADALUPE ALVARADO OROZCO
56|21|DR ALBERTO SANCHEZ SOLANO
57|15|DRA VIRIDIANA GARCIA
60|26|DR RODRIGO DE OBALDIA ZELEDON
61|38|DRA VIOLETA CORTES
62|15|DR JERONIMO MEDINA
63|15|DR GABRIEL ALEJANDRO REYNA FLORES
64|15|DRA JANETH AREVALO
65|40|DRA MARIA ISABEL ALVARADO
66|40|DR FERNANDO ARTURO CADENA MANCERA
67|23|LIC ANA MARIA MALAGON
68|39|DR SAID MONTOYA
69|39|DR ABNER PEREZ
70|41|DRA EVELYN ALBA
