CLUES|DOMINGO|LUNES|MARTES|MIERCOLES|JUEVES|VIERNES|SABADO|HORA INICIO|HORA FIN
ASCIJ000012|NO|SI|SI|SI|SI|SI|NO|08:00|19:30
ASCRO000012|NO|SI|SI|SI|SI|SI|NO|07:00|14:00
ASDIF000011|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASDIF000023|NO|SI|SI|SI|SI|SI|NO|09:00|20:00
ASDIF000035|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASDIF000040|NO|SI|SI|SI|SI|SI|NO|16:00|21:00
ASDIF000052|NO|SI|SI|SI|SI|SI|NO|08:00|19:00
ASDIF000064|NO|SI|SI|SI|SI|SI|NO|00:00|23:59
ASDIF000076|NO|SI|SI|SI|SI|SI|NO|08:00|19:00
ASHUN000012|NO|SI|SI|SI|SI|SI|NO|08:00|16:00
ASIMS000016|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASIMS000021|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASIMS000033|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000045|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000050|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000062|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000074|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000086|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000091|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000103|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000115|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000120|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000132|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000144|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000154|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000161|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASIMS000173|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIMS000185|NO|SI|SI|SI|SI|SI|NO|08:00|16:00
ASIMS000190|NO|SI|SI|SI|SI|SI|NO|08:00|16:00
ASIST000016|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASIST000021|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000033|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000045|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000050|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000062|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000074|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000103|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000115|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000120|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000131|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASIST000144|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASSCT000014|NO|SI|SI|SI|SI|SI|NO|07:00|15:00
ASSDN000046|SI|SI|SI|SI|SI|SI|SI|08:00|14:00
ASSMP000016|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000021|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000033|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000045|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000050|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000074|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000086|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000091|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000103|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000115|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000120|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000132|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000144|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000156|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000161|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000173|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000185|NO|SI|SI|SI|SI|NO|NO|09:00|18:00
ASSMP000185|NO|NO|NO|NO|NO|SI|NO|09:00|17:00
ASSMP000185|NO|NO|NO|NO|NO|NO|SI|09:00|15:00
ASSMP000202|NO|SI|SI|SI|SI|SI|SI|07:00|16:00
ASSMP000226|NO|SI|SI|SI|SI|SI|NO|09:00|18:00
ASSMP000243|NO|SI|SI|SI|SI|SI|NO|07:00|15:00
ASSMP000260|NO|SI|SI|SI|SI|NO|NO|07:00|15:00
ASSMP000260|NO|NO|NO|NO|NO|SI|NO|08:00|15:00
ASSMP000275|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000304|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000313|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000322|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000331|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000340|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000355|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000364|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000373|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000382|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000391|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000400|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000415|SI|SI|SI|SI|SI|SI|SI|10:00|21:00
ASSMP000424|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000433|SI|SI|SI|SI|SI|SI|SI|09:00|00:00
ASSMP000442|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000451|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000460|NO|SI|SI|SI|SI|SI|SI|09:00|19:00
ASSMP000475|SI|SI|SI|SI|SI|SI|SI|10:00|21:00
ASSMP000484|NO|SI|SI|SI|SI|SI|NO|09:00|21:00
ASSMP000493|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000502|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000511|NO|SI|SI|SI|SI|SI|NO|09:00|21:00
ASSMP000520|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000535|SI|SI|SI|SI|SI|SI|SI|09:00|00:00
ASSMP000544|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000553|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000562|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000571|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000580|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000595|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000604|SI|SI|SI|SI|SI|SI|SI|09:00|00:00
ASSMP000613|SI|SI|SI|SI|SI|SI|SI|09:00|19:00
ASSMP000622|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
