CLUES|SUBCLUES|CLAVE AREA|AREA|CLAVE SERVICIO|SERVICIO|UBICACION FISICA|DIAS Y HORAS DE SERVICIO
ASIMS000016|ASIMS000016-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
ASIMS000016|ASIMS000016-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASIMS000021|ASIMS000021-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
ASIMS000161|ASIMS000161-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASIST000016|ASIST000016-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
ASIST000016|ASIST000016-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000016|ASSMP000016-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000021|ASSMP000021-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000033|ASSMP000033-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000045|ASSMP000045-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000050|ASSMP000050-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000062|ASSMP000062-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000074|ASSMP000074-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO|SEGUNDO PISO EN EL ÁREA DE HOSPITALIZACIÓN  (HABITACIONES)|LUNES A DOMINGO 24 HORAS
ASSMP000086|ASSMP000086-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000091|ASSMP000091-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000103|ASSMP000103-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000115|ASSMP000115-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000120|ASSMP000120-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000132|ASSMP000132-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000144|ASSMP000144-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000156|ASSMP000156-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000161|ASSMP000161-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000173|ASSMP000173-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000275|ASSMP000275-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSMP000943|ASSMP000943-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSSA000025|ASSSA000025-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSSA000030|ASSSA000030-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
ASSSA000030|ASSSA000030-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSSA000042|ASSSA000042-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
ASSSA000042|ASSSA000042-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSSA000404|ASSSA000404-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
ASSSA000404|ASSSA000404-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSSA000614|ASSSA000614-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
ASSSA000614|ASSSA000614-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
ASSSA000655|ASSSA000655-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
ASSSA000655|ASSSA000655-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCCRO000026|BCCRO000026-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCIMB000010|BCIMB000010-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCIMB000676|BCIMB000676-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCIMB000734|BCIMB000734-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCIMB001422|BCIMB001422-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCIMB001702|BCIMB001702-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCIMS000122|BCIMS000122-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCIMS000250|BCIMS000250-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCIMS000262|BCIMS000262-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCIMS000361|BCIMS000361-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCIMS000443|BCIMS000443-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCIST000011|BCIST000011-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCIST000040|BCIST000040-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCIST000093|BCIST000093-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCSMA000013|BCSMA000013-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSME000024|BCSME000024-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCSME000041|BCSME000041-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCSME000065|BCSME000065-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
BCSMP000023|BCSMP000023-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000052|BCSMP000052-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000064|BCSMP000064-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE|UBICADO EN LA PLANTA BAJA DEL EDIFICIO PRINCIPAL HOSPITAL ALMATER MADERO EN ESQUINA DE ADMISIÓN FRENTE A LOS BAÑOS|LUNES A VIERNES 7:00 AM A 15:00 PM
BCSMP000064|BCSMP000064-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000076|BCSMP000076-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000110|BCSMP000110-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000146|BCSMP000146-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000151|BCSMP000151-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000175|BCSMP000175-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000204|BCSMP000204-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000216|BCSMP000216-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000245|BCSMP000245-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000250|BCSMP000250-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000262|BCSMP000262-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
BCSMP000274|BCSMP000274-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
